地区,2020年,2019年,2018年,2017年,2016年
江苏,249000,212000,170873,144839,116039
湖北,162800,144086,120774,107136,102449
河北,160000,147188,120580,103055,90147
辽宁,119081,109567,98111,84460,70260
四川,174815,141786,119523,81871,63523
山东,313190,254486,213803,186664,161517
湖南,122847,120000,97000,79577,60000
甘肃,62300,55345,44658,38751,33044
内蒙古,75366,59569,47859,39371,39091
云南,55000,49496,39074,30338,22148
广东,174000,140000,108000,85307,61588
广西,53800,43000,33000,25000,20000
陕西,120000,110000,93661,79000,68565
黑龙江,99126,90466,79242,67189,56645
河南,290000,233600,186000,156600,135916
吉林,80852,45875,60182,50755,41639
重庆,79248,55000,50000,53489,39601
江西,96505,78531,62910,52125,43982
