地区,2020年,2019年,2018年,2017年,2016年,lon,lat
江苏,249000,212000,170873,144839,116039,118.76741,32.041546
湖北,162800,144086,120774,107136,102449,114.298569,30.584354
河北,160000,147188,120580,103055,90147,114.502464,38.045475
辽宁,119081,109567,98111,84460,70260,120.53,43.26
四川,174815,141786,119523,81871,63523,104.065735,30.659462
山东,313190,254486,213803,186664,161517,117.000923,36.675808
湖南,122847,120000,97000,79577,60000,112.982277,28.19409
甘肃,62300,55345,44658,38751,33044,103.4,36.03
内蒙古,75366,59569,47859,39371,39091,111.46,40.48
云南,55000,49496,39074,30338,22148,102.71225,25.040609
广东,174000,140000,108000,85307,61588,113.28064,23.125177
广西,53800,43000,33000,25000,20000,108.320007,22.82402
陕西,120000,110000,93661,79000,68565,108.948021,34.263161
黑龙江,99126,90466,79242,67189,56645,126.642464,45.756966
河南,290000,233600,186000,156600,135916,113.665413,34.757977
吉林,80852,45875,60182,50755,41639,123.429092,41.796768
重庆,79248,55000,50000,53489,39601,106.504959,29.533155
江西,96505,78531,62910,52125,43982,115.892151,28.676493
